"ID";"Sectoren";"Perioden";"TotaalInkomsten_1";"TotaalBelastingen_2";"TotaalBelastingenOpProdEnInvoer_3";"ProductgebondenBelastingen_4";"NietProductgebondenBelastingen_5";"TotaalBelastOpInkomenEnVermogen_6";"BelastingenOpInkomen_7";"BelastingenOpVermogen_8";"Vermogensheffingen_9";"WettelijkeSocialeVerzekeringspremies_10";"VerkopenVanGoederenEnDiensten_11";"TotaalInkomenUitVermogen_12";"Rente_13";"Winstuitkeringen_14";"OverigInkomenUitInvesteringen_15";"InkomenUitGrondEnMineraleReserves_16";"TotaalInkomensoverdrachten_17";"InkomensoverdrachtenBinnenDeOverheid_18";"InkomensoverdrIvmInternationSamenw_19";"OverigeInkomensoverdrachten_20";"TotaalKapitaaloverdrExclVermogen_21";"Investeringsbijdragen_22";"OverigeKapitaaloverdrachten_23";"TotaalOverigeInkomsten_24";"InvesteringenInEigenBeheer_25";"Subsidies_26";"ToegerekendeSocialePremies_27";"TotaalUitgaven_28";"TotaalBeloningVanWerknemers_29";"Lonen_30";"SocialePremiesTLVWerkgevers_31";"AankopenGoederenEnDiensten_32";"TotaalNettoInvesteringen_33";"TotaalNettoInvestInVasteActiva_34";"BrutoInvesteringenInVasteActiva_35";"Afschrijvingen_36";"VeranderingenInVoorradenInclKos_37";"Afschrijvingen_38";"SaldoAanEnVerkopenVanNietGepro_39";"TotaalInkomenUitVermogen_40";"Rente_41";"InkomenUitGrondEnMineraleReserves_42";"TotaalUitkeringen_43";"TotaalSocialeUitkeringenInGeld_44";"UitkeringenWettSocVerzInGeld_45";"UitkeringenSocialeVoorzieningInGeld_46";"TotaalSocialeUitkeringenInNatura_47";"UitkeringenWettSocVerzInNatura_48";"UitkeringenSocVoorzieningInNatura_49";"TotaalSubsidies_50";"ProductgebondenSubsidies_51";"NietProductgebondenSubsidies_52";"TotaalInkomensoverdrachten_53";"InkomensoverdrachtenBinnenDeOverheid_54";"InkomensoverdrIvmInternationSamenw_55";"TotaalEigenMiddelenVanDeEU_56";"BTWAfdrachten_57";"BNIAfdrachten_58";"OverigeInkomensoverdrachten_59";"TotaalKapitaaloverdrachten_60";"Investeringsbijdragen_61";"OverigeKapitaaloverdrachten_62";"TotaalOverigeUitgaven_63";"BelastingenOpProductieEnInvoer_64";"BelastingenOpInkomenEnVermogen_65";"UitkSocVerzRechtstrDoorWerkgevers_66";"TotaalOverheidssaldo_67";"OverheidssaldoInkomsten_68";"OverheidssaldoUitgaven_69";"TotaalExploitatiesaldo_70";"ExploitatiesaldoOverheidssaldo_71";"NettoInvesteringen_72";"SaldoAanEnVerkopenVanNiet_73";"TotaalAardgasbaten_74";"Dividenden_75";"InkomenUitGrondEnMineraleReserves_76";"Vennootschapsbelasting_77";"WerkelijkeRenteInkomsten_78";"WerkelijkeRenteUitgaven_79"
"10";"10";"2000KW02";"51290";"25567";"13058";"12032";"1026";"12124";"10731";"1393";"385";"17718";"2910";"2829";"912";"1286";"1";"630";"350";"0";"47";"303";"55";"36";"19";"1861";"805";"62";"994";"49658";"11066";"8721";"2345";"6185";"832";"828";"4011";"-3183";"4";"3183";"-286";"3694";"3686";"8";"19682";"12442";"9630";"2812";"7240";"6112";"1128";"1452";"572";"880";"2046";"0";"569";"849";"322";"527";"628";"691";"408";"283";"1113";"119";"0";"994";"1632";"51290";"-49658";"2178";"1632";"832";"-286";;;;;"797";"3836"
"11";"10";"2000KW03";"46083";"23765";"12019";"10991";"1028";"11366";"10150";"1216";"380";"14777";"2959";"2470";"844";"825";"6";"795";"354";"0";"48";"306";"55";"36";"19";"1703";"741";"54";"908";"42115";"8927";"6784";"2143";"6070";"820";"817";"3992";"-3175";"3";"3175";"-2959";"3701";"3694";"7";"17349";"10210";"7822";"2388";"7139";"6123";"1016";"1321";"462";"859";"2007";"0";"570";"829";"454";"375";"608";"689";"409";"280";"1015";"107";"0";"908";"3968";"46083";"-42115";"1829";"3968";"820";"-2959";;;;;"732";"3846"
"12";"10";"2000KW04";"53229";"28845";"14036";"12997";"1039";"14368";"12969";"1399";"441";"16717";"3475";"1957";"929";"470";"11";"547";"355";"0";"49";"306";"55";"36";"19";"1825";"745";"59";"1021";"49888";"10901";"8565";"2336";"6849";"1906";"1902";"5137";"-3235";"4";"3235";"-304";"3693";"3684";"9";"17962";"10524";"7855";"2669";"7438";"6376";"1062";"1592";"547";"1045";"2219";"0";"570";"1035";"481";"554";"614";"690";"410";"280";"1145";"124";"0";"1021";"3341";"53229";"-49888";"4943";"3341";"1906";"-304";;;;;"814";"3833"
"13";"10";"2000JJ00";"195557";"100708";"50683";"46545";"4138";"48538";"43256";"5282";"1487";"64522";"12650";"8816";"3570";"2861";"24";"2361";"1410";"0";"192";"1218";"221";"144";"77";"7230";"3184";"238";"3808";"187137";"39780";"30766";"9014";"25151";"4064";"4050";"16820";"-12770";"14";"12770";"-3843";"14839";"14808";"31";"72789";"43309";"33138";"10171";"29480";"25161";"4319";"6098";"2178";"3920";"8460";"0";"2279";"3752";"1751";"2001";"2429";"2758";"1637";"1121";"4271";"463";"0";"3808";"8420";"195557";"-187137";"8641";"8420";"4064";"-3843";;;;;"3121";"15414"
"14";"10";"2001KW01";"48176";"24508";"13454";"12303";"1151";"10830";"9702";"1128";"224";"16032";"3461";"1804";"859";"347";"0";"598";"369";"0";"50";"319";"79";"47";"32";"1923";"890";"77";"956";"48703";"9517";"7168";"2349";"6668";"776";"773";"4171";"-3398";"3";"3398";"-151";"3471";"3462";"9";"18891";"10645";"8310";"2335";"8246";"7100";"1146";"1794";"558";"1236";"2287";"0";"649";"1006";"422";"584";"632";"981";"373";"608";"1071";"115";"0";"956";"-527";"48176";"-48703";"98";"-527";"776";"-151";;;;;"838";"3599"
"15";"10";"2001KW02";"53069";"26608";"14089";"12953";"1136";"12308";"11093";"1215";"211";"16685";"3075";"4224";"859";"2418";"2";"945";"369";"0";"49";"320";"79";"46";"33";"2029";"905";"73";"1051";"53850";"11849";"9343";"2506";"6817";"1017";"1014";"4418";"-3404";"3";"3404";"-150";"3451";"3442";"9";"20976";"13028";"10219";"2809";"7948";"6807";"1141";"1537";"540";"997";"2795";"0";"649";"820";"237";"583";"1326";"983";"374";"609";"1171";"120";"0";"1051";"-781";"53069";"-53850";"86";"-781";"1017";"-150";;;;;"839";"3583"
"16";"10";"2001KW03";"48732";"26309";"13241";"12086";"1155";"12771";"11686";"1085";"297";"14252";"2981";"2832";"882";"1004";"0";"946";"370";"0";"49";"321";"78";"46";"32";"1910";"893";"68";"949";"49087";"9557";"7260";"2297";"6708";"1137";"1134";"4535";"-3401";"3";"3401";"-142";"3454";"3444";"10";"18628";"10879";"8301";"2578";"7749";"6681";"1068";"1556";"532";"1024";"2750";"0";"648";"977";"531";"446";"1125";"981";"373";"608";"1057";"108";"0";"949";"-355";"48732";"-49087";"640";"-355";"1137";"-142";;;;;"858";"3593"
"17";"10";"2001KW04";"53935";"31357";"15473";"14329";"1144";"15305";"14085";"1220";"579";"14354";"3575";"2133";"915";"594";"0";"624";"372";"0";"49";"323";"80";"47";"33";"2064";"928";"73";"1063";"53932";"11634";"9138";"2496";"7569";"2039";"2035";"5482";"-3447";"4";"3447";"-135";"3468";"3458";"10";"19107";"10950";"8334";"2616";"8157";"7101";"1056";"1827";"692";"1135";"2811";"0";"648";"968";"419";"549";"1195";"983";"373";"610";"1182";"119";"0";"1063";"3";"53935";"-53932";"1907";"3";"2039";"-135";;;;;"889";"3597"
"18";"10";"2001JJ00";"203912";"108782";"56257";"51671";"4586";"51214";"46566";"4648";"1311";"61323";"13092";"10993";"3515";"4363";"2";"3113";"1480";"0";"197";"1283";"316";"186";"130";"7926";"3616";"291";"4019";"205572";"42557";"32909";"9648";"27762";"4969";"4956";"18606";"-13650";"13";"13650";"-578";"13844";"13806";"38";"77602";"45502";"35164";"10338";"32100";"27689";"4411";"6714";"2322";"4392";"10643";"0";"2594";"3771";"1609";"2162";"4278";"3928";"1493";"2435";"4481";"462";"0";"4019";"-1660";"203912";"-205572";"2731";"-1660";"4969";"-578";"6350";"1634";"2736";"1980";"3424";"14372"
"19";"10";"2002KW01";"49846";"25676";"13892";"12689";"1203";"11468";"10307";"1161";"316";"16647";"3425";"1660";"789";"339";"7";"525";"380";"0";"45";"335";"57";"44";"13";"2001";"957";"89";"955";"51519";"10157";"7614";"2543";"7222";"1012";"1007";"4622";"-3615";"5";"3615";"-80";"3066";"3056";"10";"20593";"11434";"8773";"2661";"9159";"7890";"1269";"1863";"579";"1284";"2281";"0";"661";"977";"474";"503";"643";"709";"376";"333";"1081";"126";"0";"955";"-1673";"49846";"-51519";"-741";"-1673";"1012";"-80";;;;;"771";"3233"
"20";"10";"2002KW02";"53758";"29599";"14573";"13379";"1194";"14535";"13287";"1248";"491";"15186";"3344";"3084";"802";"1626";"3";"653";"380";"0";"44";"336";"56";"43";"13";"2109";"972";"85";"1052";"57378";"12640";"9928";"2712";"7372";"1393";"1388";"5007";"-3619";"5";"3619";"-66";"3307";"3298";"9";"22682";"13494";"10788";"2706";"9188";"7922";"1266";"1648";"608";"1040";"2892";"0";"660";"1014";"474";"540";"1218";"710";"377";"333";"1181";"129";"0";"1052";"-3620";"53758";"-57378";"-2293";"-3620";"1393";"-66";;;;;"784";"3480"
"21";"10";"2002KW03";"48326";"25592";"13249";"12062";"1187";"11911";"10793";"1118";"432";"14980";"3034";"2292";"759";"699";"15";"819";"378";"0";"45";"333";"56";"43";"13";"1994";"965";"79";"950";"51480";"10196";"7710";"2486";"7265";"1345";"1340";"4959";"-3619";"5";"3619";"-74";"3299";"3289";"10";"20119";"11377";"8763";"2614";"8742";"7558";"1184";"1568";"566";"1002";"2365";"0";"661";"635";"-69";"704";"1069";"710";"377";"333";"1068";"118";"0";"950";"-3154";"48326";"-51480";"-1883";"-3154";"1345";"-74";;;;;"738";"3483"
"22";"10";"2002KW04";"54796";"31467";"15681";"14476";"1205";"15327";"14075";"1252";"459";"14958";"3625";"2151";"782";"542";"18";"809";"378";"0";"44";"334";"57";"44";"13";"2160";"1007";"79";"1074";"56632";"12422";"9714";"2708";"8190";"2247";"2243";"5911";"-3668";"4";"3668";"-50";"3151";"3140";"11";"20574";"11381";"8798";"2583";"9193";"8019";"1174";"1864";"665";"1199";"2657";"0";"660";"883";"281";"602";"1114";"710";"378";"332";"1199";"125";"0";"1074";"-1836";"54796";"-56632";"361";"-1836";"2247";"-50";;;;;"760";"3326"
"23";"10";"2002JJ00";"206726";"112334";"57395";"52606";"4789";"53241";"48462";"4779";"1698";"61771";"13428";"9187";"3132";"3206";"43";"2806";"1516";"0";"178";"1338";"226";"174";"52";"8264";"3901";"332";"4031";"217009";"45415";"34966";"10449";"30049";"5997";"5978";"20499";"-14521";"19";"14521";"-270";"12823";"12783";"40";"83968";"47686";"37122";"10564";"36282";"31389";"4893";"6943";"2418";"4525";"10195";"0";"2642";"3509";"1160";"2349";"4044";"2839";"1508";"1331";"4529";"498";"0";"4031";"-10283";"206726";"-217009";"-4556";"-10283";"5997";"-270";"5282";"1302";"2400";"1580";"3053";"13522"
"24";"10";"2003KW01";"51198";"25722";"14095";"12915";"1180";"11316";"10089";"1227";"311";"17648";"3674";"1572";"781";"289";"14";"488";"416";"0";"58";"358";"93";"69";"24";"2073";"1024";"86";"963";"54029";"10709";"7979";"2730";"7756";"1029";"1023";"4845";"-3822";"6";"3822";"-122";"3089";"3078";"11";"21869";"12056";"9402";"2654";"9813";"8534";"1279";"1775";"594";"1181";"2288";"0";"585";"1067";"316";"751";"636";"723";"366";"357";"1091";"128";"0";"963";"-2831";"51198";"-54029";"-1924";"-2831";"1029";"-122";;;;;"758";"3286"
