ID,Uitkeringen,Perioden,SocialeUitkeringen_1
201,A045113,2007JJ00,2846
202,A045113,2008JJ00,2394
203,A045113,2009JJ00,3403
204,A045113,2010JJ00,4344
205,A045113,2011JJ00,4296
206,A045113,2012JJ00,5100
207,A045113,2013JJ00,6486
208,A045113,2014JJ00,6924
209,A045113,2015JJ00,6447
210,A045113,2016JJ00,5718
211,A045113,2017JJ00,5145
212,A045113,2018JJ00,4282
213,A045113,2019JJ00,3760
214,A045113,2020JJ00,4245
215,A045113,2021JJ00,3662
216,A045112,1995JJ00,0
217,A045112,1996JJ00,0
218,A045112,1997JJ00,0
219,A045112,1998JJ00,0
220,A045112,1999JJ00,0
221,A045112,2000JJ00,0
222,A045112,2001JJ00,0
223,A045112,2002JJ00,683
224,A045112,2003JJ00,867
225,A045112,2004JJ00,849
226,A045112,2005JJ00,758
227,A045112,2006JJ00,827
228,A045112,2007JJ00,840
229,A045112,2008JJ00,985
230,A045112,2009JJ00,1067
231,A045112,2010JJ00,1110
232,A045112,2011JJ00,1111
233,A045112,2012JJ00,1126
234,A045112,2013JJ00,1090
235,A045112,2014JJ00,1105
236,A045112,2015JJ00,1086
237,A045112,2016JJ00,1129
238,A045112,2017JJ00,1135
239,A045112,2018JJ00,1283
240,A045112,2019JJ00,1239
241,A045112,2020JJ00,1359
242,A045112,2021JJ00,1677
243,A045111,1995JJ00,0
244,A045111,1996JJ00,0
245,A045111,1997JJ00,0
246,A045111,1998JJ00,436
247,A045111,1999JJ00,486
248,A045111,2000JJ00,469
249,A045111,2001JJ00,504
250,A045111,2002JJ00,502
251,A045111,2003JJ00,524
252,A045111,2004JJ00,507
253,A045111,2005JJ00,474
254,A045111,2006JJ00,441
255,A045111,2007JJ00,387
256,A045111,2008JJ00,370
257,A045111,2009JJ00,332
258,A045111,2010JJ00,296
259,A045111,2011JJ00,271
260,A045111,2012JJ00,245
261,A045111,2013JJ00,209
262,A045111,2014JJ00,188
263,A045111,2015JJ00,168
264,A045111,2016JJ00,150
265,A045111,2017JJ00,136
266,A045111,2018JJ00,122
267,A045111,2019JJ00,110
268,A045111,2020JJ00,100
269,A045111,2021JJ00,88
270,A045121,1995JJ00,0
271,A045121,1996JJ00,0
272,A045121,1997JJ00,0
273,A045121,1998JJ00,0
274,A045121,1999JJ00,0
275,A045121,2000JJ00,0
276,A045121,2001JJ00,0
277,A045121,2002JJ00,0
278,A045121,2003JJ00,0
279,A045121,2004JJ00,0
280,A045121,2005JJ00,0
281,A045121,2006JJ00,0
282,A045121,2007JJ00,0
283,A045121,2008JJ00,0
284,A045121,2009JJ00,0
285,A045121,2010JJ00,0
286,A045121,2011JJ00,0
287,A045121,2012JJ00,0
288,A045121,2013JJ00,0
289,A045121,2014JJ00,0
290,A045121,2015JJ00,17367
291,A045121,2016JJ00,17865
292,A045121,2017JJ00,18168
293,A045121,2018JJ00,19605
294,A045121,2019JJ00,21718
295,A045121,2020JJ00,22739
