"ID","RegioS","Perioden","GrijzeDruk_24"
"6553","GM0317","2023JJ00","38.9"
"6582","GM1979","2023JJ00","47"
"6611","GM1651","2023JJ00",
"6640","GM0770","2023JJ00","41.6"
"6669","GM0357","2023JJ00",
"6698","GM0229","2023JJ00",
"6727","GM0905","2023JJ00",
"6756","GM1903","2023JJ00","49.4"
"6785","GM0772","2023JJ00","25.7"
"6814","GM0230","2023JJ00","36"
"6843","GM0231","2023JJ00",
"6872","GM0114","2023JJ00","42.9"
"6901","GM0388","2023JJ00","40.2"
"6930","GM0153","2023JJ00","29.6"
"6959","GM0232","2023JJ00","48.5"
"6988","GM0233","2023JJ00","43.9"
"7017","GM0776","2023JJ00",
"7046","GM0777","2023JJ00","38.8"
"7075","GM0068","2023JJ00",
"7104","GM1722","2023JJ00",
"7133","GM0778","2023JJ00",
"7162","GM0070","2023JJ00",
"7191","GM1921","2023JJ00",
"7220","GM1940","2023JJ00","45.4"
"7249","GM0653","2023JJ00",
"7278","GM0115","2023JJ00",
"7307","GM0779","2023JJ00","38.9"
"7336","GM0236","2023JJ00",
"7365","GM0781","2023JJ00",
"7394","GM1771","2023JJ00","40.7"
"7423","GM0906","2023JJ00",
"7452","GM0782","2023JJ00",
"7481","GM1652","2023JJ00","37.2"
"7510","GM0237","2023JJ00",
"7539","GM0238","2023JJ00",
"7568","GM0154","2023JJ00",
"7597","GM0907","2023JJ00","45.8"
"7626","GM0689","2023JJ00",
"7655","GM0116","2023JJ00",
"7684","GM0784","2023JJ00","38.8"
"7713","GM0511","2023JJ00",
"7742","GM1924","2023JJ00","40.5"
"7771","GM0664","2023JJ00","43.5"
"7800","GM0785","2023JJ00","45.5"
"7829","GM1942","2023JJ00","38.6"
"7858","GM0156","2023JJ00",
"7887","GM0512","2023JJ00","32.2"
"7916","GM0239","2023JJ00",
"7945","GM0513","2023JJ00","34.3"
"7974","GM0693","2023JJ00",
"8003","GM0365","2023JJ00",
"8032","GM0157","2023JJ00",
"8061","GM0786","2023JJ00",
"8090","GM0390","2023JJ00",
