"ID";"RegioS";"Perioden";"GrijzeDruk_24"
"5970";"GM0058";"2020JJ00";
"5999";"GM0315";"2020JJ00";
"6028";"GM0505";"2020JJ00";"32.5"
"6057";"GM0498";"2020JJ00";"38.6"
"6086";"GM0316";"2020JJ00";
"6115";"GM1719";"2020JJ00";"39.7"
"6144";"GM0303";"2020JJ00";"30.8"
"6173";"GM0767";"2020JJ00";
"6202";"GM0225";"2020JJ00";"33.6"
"6231";"GM0662";"2020JJ00";
"6260";"GM0226";"2020JJ00";"32.4"
"6289";"GM0768";"2020JJ00";
"6318";"GM0769";"2020JJ00";
"6347";"GM0112";"2020JJ00";
"6376";"GM0902";"2020JJ00";
"6405";"GM0227";"2020JJ00";
"6434";"GM1711";"2020JJ00";"45.4"
"6463";"GM0385";"2020JJ00";"37.6"
"6492";"GM0228";"2020JJ00";"32.5"
"6521";"GM0113";"2020JJ00";
"6550";"GM0317";"2020JJ00";"36.6"
"6579";"GM1979";"2020JJ00";
"6608";"GM1651";"2020JJ00";
"6637";"GM0770";"2020JJ00";"39.6"
"6666";"GM0357";"2020JJ00";
"6695";"GM0229";"2020JJ00";
"6724";"GM0905";"2020JJ00";
"6753";"GM1903";"2020JJ00";"46.2"
"6782";"GM0772";"2020JJ00";"26.2"
"6811";"GM0230";"2020JJ00";"35.8"
"6840";"GM0231";"2020JJ00";
"6869";"GM0114";"2020JJ00";"40.9"
"6898";"GM0388";"2020JJ00";"38.7"
"6927";"GM0153";"2020JJ00";"29.2"
"6956";"GM0232";"2020JJ00";"47.3"
"6985";"GM0233";"2020JJ00";"42.6"
"7014";"GM0776";"2020JJ00";
"7043";"GM0777";"2020JJ00";"36.1"
"7072";"GM0068";"2020JJ00";
"7101";"GM1722";"2020JJ00";
"7130";"GM0778";"2020JJ00";
"7159";"GM0070";"2020JJ00";
"7188";"GM1921";"2020JJ00";
"7217";"GM1940";"2020JJ00";"42.9"
"7246";"GM0653";"2020JJ00";
"7275";"GM0115";"2020JJ00";
"7304";"GM0779";"2020JJ00";"36.7"
"7333";"GM0236";"2020JJ00";
"7362";"GM0781";"2020JJ00";
"7391";"GM1771";"2020JJ00";"39"
"7420";"GM0906";"2020JJ00";
"7449";"GM0782";"2020JJ00";
"7478";"GM1652";"2020JJ00";"34"
"7507";"GM0237";"2020JJ00";
"7536";"GM0238";"2020JJ00";
"7565";"GM0154";"2020JJ00";
"7594";"GM0907";"2020JJ00";"42.5"
"7623";"GM0689";"2020JJ00";
"7652";"GM0116";"2020JJ00";
"7681";"GM0784";"2020JJ00";"37.2"
"7710";"GM0511";"2020JJ00";
"7739";"GM1924";"2020JJ00";"39.1"
"7768";"GM0664";"2020JJ00";"42.3"
"7797";"GM0785";"2020JJ00";"42.8"
"7826";"GM1942";"2020JJ00";"39.6"
"7855";"GM0156";"2020JJ00";
"7884";"GM0512";"2020JJ00";"30.9"
"7913";"GM0239";"2020JJ00";
"7942";"GM0513";"2020JJ00";"32.9"
"7971";"GM0693";"2020JJ00";
"8000";"GM0365";"2020JJ00";
"8029";"GM0157";"2020JJ00";
"8058";"GM0786";"2020JJ00";"40"
"8087";"GM0390";"2020JJ00";
"8116";"GM0517";"2020JJ00";
"8145";"GM0518";"2020JJ00";"23.3"
"8174";"GM0787";"2020JJ00";
"8203";"GM0519";"2020JJ00";
"8232";"GM0240";"2020JJ00";
"8261";"GM0241";"2020JJ00";
"8290";"GM0014";"2020JJ00";"22"
"8319";"GM0015";"2020JJ00";
"8348";"GM0912";"2020JJ00";
"8377";"GM0913";"2020JJ00";
"8406";"GM1729";"2020JJ00";"51.7"
"8435";"GM0158";"2020JJ00";"44.6"
"8464";"GM0788";"2020JJ00";"40.8"
"8493";"GM0392";"2020JJ00";"28.1"
"8522";"GM0393";"2020JJ00";
"8551";"GM0394";"2020JJ00";"28.7"
"8580";"GM0914";"2020JJ00";
"8609";"GM1655";"2020JJ00";"42.1"
"8638";"GM0789";"2020JJ00";
"8667";"GM0159";"2020JJ00";
"8696";"GM0160";"2020JJ00";"32.9"
"8725";"GM0243";"2020JJ00";"32.2"
"8754";"GM0523";"2020JJ00";"33.9"
"8783";"GM0017";"2020JJ00";
"8812";"GM0395";"2020JJ00";
"8841";"GM0072";"2020JJ00";"47.8"
"8870";"GM0318";"2020JJ00";
"8899";"GM0161";"2020JJ00";
"8928";"GM0244";"2020JJ00";"41.5"
"8957";"GM0117";"2020JJ00";
"8986";"GM0245";"2020JJ00";
"9015";"GM1937";"2020JJ00";
"9044";"GM0396";"2020JJ00";"39"
"9073";"GM0397";"2020JJ00";"54.4"
"9102";"GM0246";"2020JJ00";"43.8"
"9131";"GM0074";"2020JJ00";"39"
"9160";"GM0247";"2020JJ00";
"9189";"GM0398";"2020JJ00";"31.2"
"9218";"GM0526";"2020JJ00";
"9247";"GM0917";"2020JJ00";"39.2"
"9276";"GM0791";"2020JJ00";
"9305";"GM0793";"2020JJ00";
"9334";"GM1658";"2020JJ00";"44.1"
"9363";"GM0399";"2020JJ00";"50.7"
"9392";"GM0162";"2020JJ00";
"9421";"GM0918";"2020JJ00";
"9450";"GM0400";"2020JJ00";"39.8"
"9479";"GM0163";"2020JJ00";"40.5"
"9508";"GM0530";"2020JJ00";"37.3"
"9537";"GM0794";"2020JJ00";"29"
"9566";"GM0795";"2020JJ00";
"9595";"GM0531";"2020JJ00";"29.7"
"9624";"GM0248";"2020JJ00";
"9653";"GM0164";"2020JJ00";"34.5"
"9682";"GM0796";"2020JJ00";"29.8"
"9711";"GM0251";"2020JJ00";
"9740";"GM0252";"2020JJ00";"44.1"
"9769";"GM0797";"2020JJ00";"35.9"
"9798";"GM0920";"2020JJ00";
"9827";"GM0534";"2020JJ00";"36.1"
"9856";"GM0798";"2020JJ00";"40.4"
"9885";"GM0402";"2020JJ00";"32.4"
"9914";"GM1963";"2020JJ00";"40.3"
"9943";"GM0253";"2020JJ00";
"9972";"GM0799";"2020JJ00";
"10001";"GM1735";"2020JJ00";"46.7"
"10030";"GM1966";"2020JJ00";"43.2"
"10059";"GM1911";"2020JJ00";"36.3"
"10088";"GM0165";"2020JJ00";
"10117";"GM0675";"2020JJ00";
"10146";"GM0801";"2020JJ00";
"10175";"GM0802";"2020JJ00";
"10204";"GM0800";"2020JJ00";
"10233";"GM0118";"2020JJ00";"39.1"
"10262";"GM0018";"2020JJ00";
"10291";"GM0405";"2020JJ00";"33.7"
"10320";"GM0923";"2020JJ00";
"10349";"GM1507";"2020JJ00";"37.8"
"10378";"GM0321";"2020JJ00";"25.8"
"10407";"GM0803";"2020JJ00";
"10436";"GM0255";"2020JJ00";
"10465";"GM0406";"2020JJ00";"42.8"
"10494";"GM0677";"2020JJ00";"44.6"
"10523";"GM0256";"2020JJ00";
"10552";"GM0925";"2020JJ00";
"10581";"GM0195";"2020JJ00";
"10610";"GM0191";"2020JJ00";
"10639";"GM0353";"2020JJ00";"30.5"
"10668";"GM0645";"2020JJ00";
"10697";"GM1884";"2020JJ00";"36.1"
"10726";"GM0166";"2020JJ00";"30"
"10755";"GM0678";"2020JJ00";"38.7"
"10784";"GM0537";"2020JJ00";"31.6"
"10813";"GM0928";"2020JJ00";"44.6"
"10842";"GM0257";"2020JJ00";
"10871";"GM0929";"2020JJ00";
"10900";"GM0258";"2020JJ00";
"10929";"GM0804";"2020JJ00";
"10958";"GM1598";"2020JJ00";"36.4"
"10987";"GM0079";"2020JJ00";
"11016";"GM0588";"2020JJ00";
"11045";"GM0542";"2020JJ00";"46.9"
"11074";"GM1931";"2020JJ00";"38.1"
"11103";"GM1659";"2020JJ00";"39.5"
"11132";"GM1982";"2020JJ00";
"11161";"GM1685";"2020JJ00";"39.1"
"11190";"GM0882";"2020JJ00";"44.5"
"11219";"GM0415";"2020JJ00";"39.3"
"11248";"GM0325";"2020JJ00";
"11277";"GM0416";"2020JJ00";"37.4"
"11306";"GM1621";"2020JJ00";"27.3"
"11335";"GM0417";"2020JJ00";"66.5"
"11364";"GM0022";"2020JJ00";
"11393";"GM0805";"2020JJ00";
"11422";"GM0545";"2020JJ00";
"11451";"GM0326";"2020JJ00";
"11480";"GM0080";"2020JJ00";"31"
"11509";"GM0081";"2020JJ00";
"11538";"GM0546";"2020JJ00";"23.3"
"11567";"GM0547";"2020JJ00";"41.7"
"11596";"GM0548";"2020JJ00";
"11625";"GM1916";"2020JJ00";"41.3"
"11654";"GM0995";"2020JJ00";"30.7"
"11683";"GM0082";"2020JJ00";
"11712";"GM1640";"2020JJ00";"43.3"
"11741";"GM0327";"2020JJ00";"39.9"
"11770";"GM0260";"2020JJ00";
"11799";"GM1673";"2020JJ00";
"11828";"GM0806";"2020JJ00";
"11857";"GM0261";"2020JJ00";
"11886";"GM0552";"2020JJ00";
"11915";"GM0807";"2020JJ00";
"11944";"GM0694";"2020JJ00";
"11973";"GM0418";"2020JJ00";
"12002";"GM0733";"2020JJ00";
"12031";"GM1705";"2020JJ00";"39.2"
"12060";"GM0553";"2020JJ00";"40.9"
"12089";"GM0808";"2020JJ00";
"12118";"GM0140";"2020JJ00";
"12147";"GM0262";"2020JJ00";"54.5"
"12176";"GM0329";"2020JJ00";
"12205";"GM0809";"2020JJ00";"39.6"
"12234";"GM0330";"2020JJ00";
"12263";"GM0331";"2020JJ00";"30.2"
"12292";"GM0024";"2020JJ00";"40.1"
"12321";"GM0168";"2020JJ00";"43.2"
"12350";"GM0810";"2020JJ00";
"12379";"GM0811";"2020JJ00";
"12408";"GM0332";"2020JJ00";
"12437";"GM0333";"2020JJ00";
"12466";"GM0334";"2020JJ00";
"12495";"GM0933";"2020JJ00";
"12524";"GM0934";"2020JJ00";
"12553";"GM1671";"2020JJ00";
"12582";"GM0263";"2020JJ00";"32"
"12611";"GM1641";"2020JJ00";"47.3"
"12640";"GM1991";"2020JJ00";
"12669";"GM0555";"2020JJ00";
"12698";"GM0556";"2020JJ00";"41.5"
"12727";"GM0935";"2020JJ00";"35"
"12756";"GM1665";"2020JJ00";
"12785";"GM0812";"2020JJ00";
"12814";"GM0936";"2020JJ00";
"12843";"GM0686";"2020JJ00";
"12872";"GM0169";"2020JJ00";
"12901";"GM1663";"2020JJ00";
"12930";"GM0025";"2020JJ00";
"12959";"GM0264";"2020JJ00";
"12988";"GM0420";"2020JJ00";"37.3"
"13017";"GM0993";"2020JJ00";
"13046";"GM0938";"2020JJ00";"49.4"
"13075";"GM1948";"2020JJ00";"36.2"
"13104";"GM0941";"2020JJ00";
"13133";"GM0083";"2020JJ00";
"13162";"GM1908";"2020JJ00";
"13191";"GM1987";"2020JJ00";
"13220";"GM0119";"2020JJ00";"35"
"13249";"GM0687";"2020JJ00";"40.5"
"13278";"GM0559";"2020JJ00";
"13307";"GM1842";"2020JJ00";"33.1"
"13336";"GM1731";"2020JJ00";"42.9"
"13365";"GM1952";"2020JJ00";"39.1"
"13394";"GM0688";"2020JJ00";
"13423";"GM1697";"2020JJ00";
"13452";"GM0814";"2020JJ00";
"13481";"GM0815";"2020JJ00";"37.7"
"13510";"GM0265";"2020JJ00";
"13539";"GM1709";"2020JJ00";"38.1"
"13568";"GM0816";"2020JJ00";
"13597";"GM1978";"2020JJ00";"34.2"
"13626";"GM1927";"2020JJ00";
"13655";"GM0562";"2020JJ00";
"13684";"GM1955";"2020JJ00";"41.7"
"13713";"GM0335";"2020JJ00";"35.2"
"13742";"GM0944";"2020JJ00";"50.4"
"13771";"GM0563";"2020JJ00";
"13800";"GM0424";"2020JJ00";
"13829";"GM0565";"2020JJ00";
"13858";"GM0425";"2020JJ00";
"13887";"GM1740";"2020JJ00";"31.3"
"13916";"GM0426";"2020JJ00";
"13945";"GM0643";"2020JJ00";
"13974";"GM0946";"2020JJ00";"41"
