"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"277";"PV24    ";"2002JJ00";"1.3"
"278";"PV24    ";"2003JJ00";"5.7"
"279";"PV24    ";"2004JJ00";"3.6"
"280";"PV24    ";"2005JJ00";"3.5"
"281";"PV24    ";"2006JJ00";"8.1"
"282";"PV24    ";"2007JJ00";"5.3"
"283";"PV24    ";"2008JJ00";"-0.4"
"284";"PV24    ";"2009JJ00";"-5"
"285";"PV24    ";"2010JJ00";"3.7"
"286";"PV24    ";"2011JJ00";"1"
"287";"PV24    ";"2012JJ00";"-0.7"
"288";"PV24    ";"2013JJ00";"-2.7"
"289";"PV24    ";"2014JJ00";"2.2"
"290";"PV24    ";"2015JJ00";"2"
"291";"PV24    ";"2016JJ00";"2.5"
"292";"PV24    ";"2017JJ00";"4.1"
"293";"PV24    ";"2018JJ00";"1.7"
"294";"PV24    ";"2019JJ00";"1.5"
"295";"PV24    ";"2020JJ00";"-2.3"
"296";"PV24    ";"2021JJ00";"4.7"
"297";"PV25    ";"1995JJ00";
"298";"PV25    ";"1996JJ00";"2.7"
"299";"PV25    ";"1997JJ00";"5"
"300";"PV25    ";"1998JJ00";"4.4"
"301";"PV25    ";"1999JJ00";"3.9"
"302";"PV25    ";"2000JJ00";"4.4"
"303";"PV25    ";"2001JJ00";"2.9"
"304";"PV25    ";"2002JJ00";"-0.5"
"305";"PV25    ";"2003JJ00";"0.4"
"306";"PV25    ";"2004JJ00";"0.9"
"307";"PV25    ";"2005JJ00";"1.6"
"308";"PV25    ";"2006JJ00";"5"
"309";"PV25    ";"2007JJ00";"3.2"
"310";"PV25    ";"2008JJ00";"2.1"
"311";"PV25    ";"2009JJ00";"-1.8"
"312";"PV25    ";"2010JJ00";"-0.3"
"313";"PV25    ";"2011JJ00";"3.5"
"314";"PV25    ";"2012JJ00";"-2.5"
"315";"PV25    ";"2013JJ00";"-0.7"
"316";"PV25    ";"2014JJ00";"2.1"
"317";"PV25    ";"2015JJ00";"1.4"
"318";"PV25    ";"2016JJ00";"1.9"
"319";"PV25    ";"2017JJ00";"3.1"
"320";"PV25    ";"2018JJ00";"2.2"
"321";"PV25    ";"2019JJ00";"1.7"
"322";"PV25    ";"2020JJ00";"-2.7"
"323";"PV25    ";"2021JJ00";"4.4"
"324";"PV26    ";"1995JJ00";
"325";"PV26    ";"1996JJ00";"5.3"
"326";"PV26    ";"1997JJ00";"4.2"
"327";"PV26    ";"1998JJ00";"8"
"328";"PV26    ";"1999JJ00";"7.6"
"329";"PV26    ";"2000JJ00";"3.8"
"330";"PV26    ";"2001JJ00";"4.4"
"331";"PV26    ";"2002JJ00";"-1"
"332";"PV26    ";"2003JJ00";"-2"
"333";"PV26    ";"2004JJ00";"1.2"
"334";"PV26    ";"2005JJ00";"2.2"
"335";"PV26    ";"2006JJ00";"3.8"
"336";"PV26    ";"2007JJ00";"5"
"337";"PV26    ";"2008JJ00";"1.9"
"338";"PV26    ";"2009JJ00";"-0.7"
"339";"PV26    ";"2010JJ00";"-1.1"
"340";"PV26    ";"2011JJ00";"0.5"
"341";"PV26    ";"2012JJ00";"-0.9"
"342";"PV26    ";"2013JJ00";"0"
"343";"PV26    ";"2014JJ00";"1"
"344";"PV26    ";"2015JJ00";"1.6"
"345";"PV26    ";"2016JJ00";"1.7"
"346";"PV26    ";"2017JJ00";"4.8"
"347";"PV26    ";"2018JJ00";"3.2"
"348";"PV26    ";"2019JJ00";"3.9"
"349";"PV26    ";"2020JJ00";"-1.9"
"350";"PV26    ";"2021JJ00";"4.2"
"351";"PV27    ";"1995JJ00";
"352";"PV27    ";"1996JJ00";"3.1"
"353";"PV27    ";"1997JJ00";"5.9"
"354";"PV27    ";"1998JJ00";"5.4"
"355";"PV27    ";"1999JJ00";"4.4"
"356";"PV27    ";"2000JJ00";"4.3"
