"ID";"RegioS";"Jaar";"Grijze Druk"
"133";"LD04  ";"2012JJ00";"29"
"134";"LD04  ";"2013JJ00";"30.3"
"135";"LD04  ";"2014JJ00";"31.4"
"136";"LD04  ";"2015JJ00";"32.5"
"137";"LD04  ";"2016JJ00";"33.5"
"138";"LD04  ";"2017JJ00";"34.4"
"139";"LD04  ";"2018JJ00";"35.2"
"140";"LD04  ";"2019JJ00";"35.9"
"141";"LD04  ";"2020JJ00";"36.6"
"142";"LD04  ";"2021JJ00";"37.2"
"143";"LD04  ";"2022JJ00";"37.8"
"144";"LD04  ";"2023JJ00";"38.2"
"145";"PV20  ";"1995JJ00";"22.9"
"146";"PV20  ";"1996JJ00";"23"
"147";"PV20  ";"1997JJ00";"23"
"148";"PV20  ";"1998JJ00";"23.1"
"149";"PV20  ";"1999JJ00";"23.1"
"150";"PV20  ";"2000JJ00";"23.1"
"151";"PV20  ";"2001JJ00";"23.1"
"152";"PV20  ";"2002JJ00";"23.1"
"153";"PV20  ";"2003JJ00";"23.1"
"154";"PV20  ";"2004JJ00";"23.1"
"155";"PV20  ";"2005JJ00";"23.3"
"156";"PV20  ";"2006JJ00";"23.6"
"157";"PV20  ";"2007JJ00";"23.9"
"158";"PV20  ";"2008JJ00";"24.3"
"159";"PV20  ";"2009JJ00";"24.7"
"160";"PV20  ";"2010JJ00";"25.2"
"161";"PV20  ";"2011JJ00";"25.7"
"162";"PV20  ";"2012JJ00";"26.9"
"163";"PV20  ";"2013JJ00";"28"
"164";"PV20  ";"2014JJ00";"28.9"
"165";"PV20  ";"2015JJ00";"29.7"
"166";"PV20  ";"2016JJ00";"30.4"
"167";"PV20  ";"2017JJ00";"31.1"
"168";"PV20  ";"2018JJ00";"31.9"
"169";"PV20  ";"2019JJ00";"32.6"
"170";"PV20  ";"2020JJ00";"33.2"
"171";"PV20  ";"2021JJ00";"34"
"172";"PV20  ";"2022JJ00";"34.4"
"173";"PV20  ";"2023JJ00";"34.7"
"174";"PV21  ";"1995JJ00";"23.5"
"175";"PV21  ";"1996JJ00";"23.5"
"176";"PV21  ";"1997JJ00";"23.5"
"177";"PV21  ";"1998JJ00";"23.7"
"178";"PV21  ";"1999JJ00";"23.7"
"179";"PV21  ";"2000JJ00";"23.8"
"180";"PV21  ";"2001JJ00";"23.9"
"181";"PV21  ";"2002JJ00";"24"
"182";"PV21  ";"2003JJ00";"24.1"
"183";"PV21  ";"2004JJ00";"24.4"
"184";"PV21  ";"2005JJ00";"24.8"
"185";"PV21  ";"2006JJ00";"25.4"
"186";"PV21  ";"2007JJ00";"25.7"
"187";"PV21  ";"2008JJ00";"26.3"
"188";"PV21  ";"2009JJ00";"27.1"
"189";"PV21  ";"2010JJ00";"28"
"190";"PV21  ";"2011JJ00";"28.8"
"191";"PV21  ";"2012JJ00";"30.4"
"192";"PV21  ";"2013JJ00";"31.8"
"193";"PV21  ";"2014JJ00";"33"
"194";"PV21  ";"2015JJ00";"34.1"
"195";"PV21  ";"2016JJ00";"35"
"196";"PV21  ";"2017JJ00";"35.9"
"197";"PV21  ";"2018JJ00";"36.8"
"198";"PV21  ";"2019JJ00";"37.7"
"199";"PV21  ";"2020JJ00";"38.5"
"200";"PV21  ";"2021JJ00";"39.4"
"201";"PV21  ";"2022JJ00";"40.1"
"202";"PV21  ";"2023JJ00";"40.6"
"203";"PV22  ";"1995JJ00";"23.8"
"204";"PV22  ";"1996JJ00";"24.1"
"205";"PV22  ";"1997JJ00";"24.4"
"206";"PV22  ";"1998JJ00";"24.7"
"207";"PV22  ";"1999JJ00";"25"
"208";"PV22  ";"2000JJ00";"25.4"
"209";"PV22  ";"2001JJ00";"25.6"
"210";"PV22  ";"2002JJ00";"25.9"
"211";"PV22  ";"2003JJ00";"26.2"
"212";"PV22  ";"2004JJ00";"26.6"
"213";"PV22  ";"2005JJ00";"27.1"
"214";"PV22  ";"2006JJ00";"27.6"
"215";"PV22  ";"2007JJ00";"28.1"
"216";"PV22  ";"2008JJ00";"28.7"
"217";"PV22  ";"2009JJ00";"29.5"
"218";"PV22  ";"2010JJ00";"30.4"
"219";"PV22  ";"2011JJ00";"31.1"
"220";"PV22  ";"2012JJ00";"32.9"
"221";"PV22  ";"2013JJ00";"34.5"
"222";"PV22  ";"2014JJ00";"36"
"223";"PV22  ";"2015JJ00";"37.2"
"224";"PV22  ";"2016JJ00";"38.4"
"225";"PV22  ";"2017JJ00";"39.2"
"226";"PV22  ";"2018JJ00";"40.2"
"227";"PV22  ";"2019JJ00";"41.2"
"228";"PV22  ";"2020JJ00";"42.2"
"229";"PV22  ";"2021JJ00";"43"
"230";"PV22  ";"2022JJ00";"43.7"
"231";"PV22  ";"2023JJ00";"44.3"
"232";"PV23  ";"1995JJ00";"21.5"
"233";"PV23  ";"1996JJ00";"21.8"
"234";"PV23  ";"1997JJ00";"22"
"235";"PV23  ";"1998JJ00";"22.2"
"236";"PV23  ";"1999JJ00";"22.4"
"237";"PV23  ";"2000JJ00";"22.5"
"238";"PV23  ";"2001JJ00";"22.5"
"239";"PV23  ";"2002JJ00";"22.7"
"240";"PV23  ";"2003JJ00";"22.8"
"241";"PV23  ";"2004JJ00";"23.1"
"242";"PV23  ";"2005JJ00";"23.4"
"243";"PV23  ";"2006JJ00";"23.8"
"244";"PV23  ";"2007JJ00";"24.1"
"245";"PV23  ";"2008JJ00";"24.6"
"246";"PV23  ";"2009JJ00";"25.1"
"247";"PV23  ";"2010JJ00";"25.7"
"248";"PV23  ";"2011JJ00";"26.2"
"249";"PV23  ";"2012JJ00";"27.5"
"250";"PV23  ";"2013JJ00";"28.6"
"251";"PV23  ";"2014JJ00";"29.7"
"252";"PV23  ";"2015JJ00";"30.5"
"253";"PV23  ";"2016JJ00";"31.3"
"254";"PV23  ";"2017JJ00";"32"
"255";"PV23  ";"2018JJ00";"32.8"
"256";"PV23  ";"2019JJ00";"33.4"
"257";"PV23  ";"2020JJ00";"34"
"258";"PV23  ";"2021JJ00";"34.5"
"259";"PV23  ";"2022JJ00";"35"
"260";"PV23  ";"2023JJ00";"35.4"
"261";"PV24  ";"1995JJ00";"15.1"
"262";"PV24  ";"1996JJ00";"15.2"
"263";"PV24  ";"1997JJ00";"15.3"
"264";"PV24  ";"1998JJ00";"15.1"
"265";"PV24  ";"1999JJ00";"14.8"
"266";"PV24  ";"2000JJ00";"14.6"
"267";"PV24  ";"2001JJ00";"14.4"
"268";"PV24  ";"2002JJ00";"14.2"
"269";"PV24  ";"2003JJ00";"14.1"
"270";"PV24  ";"2004JJ00";"14.1"
"271";"PV24  ";"2005JJ00";"14.2"
"272";"PV24  ";"2006JJ00";"14.3"
"273";"PV24  ";"2007JJ00";"14.4"
"274";"PV24  ";"2008JJ00";"14.7"
"275";"PV24  ";"2009JJ00";"15.1"
"276";"PV24  ";"2010JJ00";"15.5"
"277";"PV24  ";"2011JJ00";"15.8"
"278";"PV24  ";"2012JJ00";"16.9"
"279";"PV24  ";"2013JJ00";"17.8"
"280";"PV24  ";"2014JJ00";"18.7"
"281";"PV24  ";"2015JJ00";"19.5"
"282";"PV24  ";"2016JJ00";"20.3"
"283";"PV24  ";"2017JJ00";"21.1"
"284";"PV24  ";"2018JJ00";"21.9"
"285";"PV24  ";"2019JJ00";"22.7"
"286";"PV24  ";"2020JJ00";"23.4"
"287";"PV24  ";"2021JJ00";"24.1"
"288";"PV24  ";"2022JJ00";"24.7"
"289";"PV24  ";"2023JJ00";"25.2"
"290";"PV25  ";"1995JJ00";"21.1"
"291";"PV25  ";"1996JJ00";"21.4"
"292";"PV25  ";"1997JJ00";"21.5"
"293";"PV25  ";"1998JJ00";"21.8"
"294";"PV25  ";"1999JJ00";"22"
"295";"PV25  ";"2000JJ00";"22.1"
"296";"PV25  ";"2001JJ00";"22.3"
"297";"PV25  ";"2002JJ00";"22.5"
"298";"PV25  ";"2003JJ00";"22.6"
"299";"PV25  ";"2004JJ00";"22.9"
"300";"PV25  ";"2005JJ00";"23.4"
"301";"PV25  ";"2006JJ00";"23.8"
"302";"PV25  ";"2007JJ00";"24.3"
"303";"PV25  ";"2008JJ00";"24.8"
"304";"PV25  ";"2009JJ00";"25.4"
"305";"PV25  ";"2010JJ00";"26.1"
"306";"PV25  ";"2011JJ00";"26.7"
"307";"PV25  ";"2012JJ00";"28.1"
"308";"PV25  ";"2013JJ00";"29.4"
"309";"PV25  ";"2014JJ00";"30.5"
"310";"PV25  ";"2015JJ00";"31.5"
"311";"PV25  ";"2016JJ00";"32.4"
"312";"PV25  ";"2017JJ00";"33.2"
"313";"PV25  ";"2018JJ00";"34"
"314";"PV25  ";"2019JJ00";"34.8"
"315";"PV25  ";"2020JJ00";"35.5"
"316";"PV25  ";"2021JJ00";"36.1"
"317";"PV25  ";"2022JJ00";"36.7"
"318";"PV25  ";"2023JJ00";"37.1"
"319";"PV26  ";"1995JJ00";"19.6"
"320";"PV26  ";"1996JJ00";"19.8"
"321";"PV26  ";"1997JJ00";"19.8"
"322";"PV26  ";"1998JJ00";"19.8"
"323";"PV26  ";"1999JJ00";"19.8"
"324";"PV26  ";"2000JJ00";"19.8"
